CountyID,FacilityName,lat,lon,parent_org,Capacity,county_name,Expiration,Fcltyaddress,address
1,Harrisville Home,44.6562871,-83.3007139,Northeast Michigan CMH Authority,6,ALCONA,20210329,"329 w main , harrisville , mi 48740 , usa","329 w main st, harrisville, mi 48740, usa"
1,Maple Grove AFC,44.6896554,-83.6025589,"Jagelewski, Nancy",6,ALCONA,20200611,"1195 stuve ranch road , barton city , mi 48705 , usa","1195 stuve ranch rd, barton city, mi 48705, usa"
1,Mill Creek Home,44.6617868,-83.3012983,Northeast Michigan CMH Authority,6,ALCONA,20210429,"350 mill creek rd , harrisville , mi 48740 , usa","350 n mill creek rd, harrisville, mi 48740, usa"
2,Whispering Pines,46.3483004,-86.9079565,Myla Tomkinson,6,ALGER,20211031,"5528 finns spir , chatham , mi 49816 , usa","finn's spur rd, chatham, mi 49816, usa"
3,318 E. Hammond Street AFC,42.4545577,-85.6932298,HomeLife Inc,12,ALLEGAN,20211203,"318 e. hammond street , otsego , mi 49078 , usa","318 e hammond st, otsego, mi 49078, usa"
3,691 W. Bridge Street AFC,42.4424561,-85.6554525,HomeLife Inc,12,ALLEGAN,20211103,"691 w. bridge street , plainwell , mi 49080 , usa","691 w bridge st, plainwell, mi 49080, usa"
3,Affinity-Fieldscape,42.479569,-85.7428168,Affinity Health Management LLC,6,ALLEGAN,20210929,"2035 108 th avenue , otsego , mi 49078 , usa","2035 108th ave, otsego, mi 49078, usa"
3,Agnus Dei AFC Home II,42.513412,-85.95622,Agnus Dei AFC Home Inc.,6,ALLEGAN,20210224,"1292 42 nd street , allegan , mi 49010 , usa","1292 42nd st, allegan, mi 49010, usa"
3,Agnus Dei AFC Home III,42.5283999,-85.8816231,Agnus Dei AFC Home Inc.,8,ALLEGAN,20220130,"3445 115 th avenue , allegan , mi 49010 , usa","3445 115th ave, allegan, mi 49010, usa"
3,Allegan Enrichment Center #1,42.5312525,-85.8604186,Falco Corporation,12,ALLEGAN,20200809,"427 davis street , allegan , mi 49010 , usa","427 davis st, allegan, mi 49010, usa"
3,Allegan Enrichment Center II,42.5290108,-85.8513027,Falco Corporation,6,ALLEGAN,20210721,"312 trowbridge street , allegan , mi 49010 , usa","312 trowbridge st, allegan, mi 49010, usa"
3,Baseline Creek AFC,42.4230101,-85.8358459,"Baseline Clinical Services, Inc.",6,ALLEGAN,20200807,"43 30 th street , allegan , mi 49010 , usa","43 30th st, allegan, mi 49010, usa"
3,Beacon Home at The Oaks,42.4469602,-85.643206,Powell AFC Homes Inc,40,ALLEGAN,20200809,"403 n. main , plainwell , mi 49080 , usa","403 n main st, plainwell, mi 49080, usa"
3,Blessed Edge,42.4466385,-85.6428046,Cooper-Mason Kathryn Anne,6,ALLEGAN,20210611,"377 n main street , plainwell , mi 49080 , usa","377 n main st, plainwell, mi 49080, usa"
3,Blue Moon House,42.4567141,-85.9695866,Rebecca Forbes,5,ALLEGAN,20201010,"4355 105 th avenue , allegan , mi 49010 , usa","4355 105th ave, allegan, mi 49010, usa"
3,Blue Sky AFC,42.442851,-86.0214644,"R & B Living Supports, Inc.",6,ALLEGAN,20201226,"331 49 th street , grand junction , mi 49056 , usa","331 49th st, grand junction, mi 49056, usa"
3,Briarwood Assisted Living,42.5220828,-85.8641987,"Briarwood Assisted Living, LLC",55,ALLEGAN,20201015,"620 ely st. , allegan , mi 49010 , usa","620 ely st, allegan, mi 49010, usa"
3,"Cornerstone I, Inc.",42.4256553,-85.9855853,"Cornerstone I, Inc.",6,ALLEGAN,20200919,"98 45 th street , bloomingdale , mi 49026 , usa","98 45th st, bloomingdale, mi 49026, usa"
3,Cornerstone Tenth Street,42.4793044,-85.641259,"Cornerstone AFC, LLC",6,ALLEGAN,20200320,"803 n. 10 th street , plainwell , mi 49080 , usa","803 10th st, plainwell, mi 49080, usa"
3,Country Home Care,42.49076,-86.0605675,"Yates, Wilma",6,ALLEGAN,20200902,"5290 110 th avenue , pullman , mi 49450 , usa","5290 w 110th ave, pullman, mi 49450, usa"
3,Country Liv - Inn Inc,42.5836535,-85.6125074,Country Liv-Inn Inc,16,ALLEGAN,20210126,"2234 seventh street , shelbyville , mi 49344 , usa","2234 7th st, shelbyville, mi 49344, usa"
3,Diamond Pointe AFC,42.4198857,-86.2289885,Dorthie Bolden,4,ALLEGAN,20220206,"7027 baseline road , south haven , mi 49090 , usa","7027 baseline rd, south haven, mi 49090, usa"
3,Diana's Care,42.4558536,-85.6926199,"Diana's Care, L.L.C.",12,ALLEGAN,20210507,"328 east morrell , otsego , mi 49078 , usa","328 e morrell st, otsego, mi 49078, usa"
3,Eva's AFC Home,42.6818974,-85.8545607,K'Lee Felty,6,ALLEGAN,20200326,"3151 136 th avenue , hamilton , mi 49419 , usa","3151 136th ave, hamilton, mi 49419, usa"
3,Golden Orchards I,42.5978916,-86.0853807,"Lifehouse-Golden Acres Operations, LLC",20,ALLEGAN,20200319,"2464 55 th st. , fennville , mi 49408 , usa","2464 55th st, fennville, mi 49408, usa"
3,Grand Street,42.5330382,-85.8356645,"Cornerstone AFC, LLC",6,ALLEGAN,20210809,"630 grand street , allegan , mi 49010 , usa","630 grand st, allegan, mi 49010, usa"
3,Green Acres of Wayland,42.6760353,-85.6325468,Retirement Living Management of Wayland LLC,20,ALLEGAN,20220114,"298 kay lane , wayland , mi 48858 , usa","298 kay ln, wayland, mi 49348, usa"
3,Green Acres of Wayland II,42.6758716,-85.6319382,Retirement Living Management of Wayland LLC,20,ALLEGAN,20201010,"268 kay lane , wayland , mi 49348 , usa","268 kay ln, wayland, mi 49348, usa"
3,Harbors Health Facility,42.6348253,-86.206558,"Douglas Investments & Associates, LLC",28,ALLEGAN,20200318,"243 wiley rd. , douglas , mi 49406 , usa","243 wiley rd, douglas, mi 49406, usa"
3,Harmony House,42.4425222,-85.6438684,Harmony Enterprises Inc,12,ALLEGAN,20210820,"211 west bridge street , plainwell , mi 49080 , usa","211 w bridge st, plainwell, mi 49080, usa"
3,Helping Hands,42.7599195,-86.1053324,Shawna and Jose Maciel,6,ALLEGAN,20211209,"1051 college ave , holland , mi 49423 , usa","1051 college ave, holland, mi 49423, usa"
